DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1
3719.25,167.961,120.388,6.364,75.763,2.679
3719.375,169.47,125.828,5.733,75.407,2.681
3719.5,169.13,127.79,5.526,75.147,2.681
3719.625,166.348,125.572,5.816,75.01,2.679
3719.75,162.09,120.503,6.503,75.006,2.676
3719.875,158.253,114.559,7.401,75.137,2.673
3720,156.945,108.882,8.398,75.396,2.674
3720.125,158.448,104.059,9.451,75.763,2.676
3720.25,161.587,100.601,10.475,76.217,2.676
3720.375,165.171,98.63,11.427,76.752,2.673
3720.5,169.022,98.255,12.217,77.359,2.669
3720.625,173.227,99.237,12.752,77.995,2.663
3720.75,177.186,100.755,13.074,78.588,2.655
3720.875,179.761,102.097,13.254,79.069,2.644
3721,180.264,102.946,13.304,79.409,2.634
3721.125,179.117,103.597,13.198,79.616,2.627
3721.25,177.134,104.522,12.903,79.705,2.626
3721.375,175.7,106.229,12.392,79.679,2.63
3721.5,176.012,109.066,11.711,79.525,2.636
3721.625,178.275,112.748,10.98,79.213,2.64
3721.75,181.224,116.891,10.304,78.705,2.642
3721.875,183.043,120.655,9.78,77.964,2.645
3722,182.242,122.876,9.502,77.012,2.651
3722.125,178.918,122.062,9.546,75.943,2.66
3722.25,174.651,117.279,9.945,74.898,2.666
3722.375,170.926,109.528,10.585,73.993,2.668
3722.5,168.279,101.147,11.237,73.288,2.666
3722.625,166.43,94.289,11.72,72.785,2.663
3722.75,164.521,89.98,11.972,72.482,2.661
3722.875,162.272,87.716,12.061,72.378,2.658
3723,159.929,86.628,12.065,72.468,2.654
3723.125,157.484,86.218,12.01,72.724,2.649
3723.25,154.711,85.876,11.923,73.083,2.645
3723.375,151.733,85.498,11.818,73.453,2.642
3723.5,148.69,85.076,11.684,73.739,2.639
3723.625,145.983,84.674,11.508,73.872,2.636
3723.75,144.105,84.345,11.289,73.833,2.633
3723.875,143.411,84.219,11.007,73.65,2.63
3724,143.924,84.408,10.674,73.39,2.63
3724.125,145.374,85.017,10.288,73.131,2.637
3724.25,146.833,85.983,9.83,72.948,2.648
3724.375,147.634,87.109,9.345,72.885,2.663
3724.5,147.678,88.359,8.901,72.932,2.678
3724.625,147.589,90.053,8.554,73.016,2.689
3724.75,147.904,92.303,8.347,73.024,2.694
3724.875,148.762,95.067,8.244,72.844,2.696
3725,149.414,97.65,8.187,72.383,2.696
3725.125,147.675,99.07,8.131,71.561,2.696
3725.25,140.466,97.899,7.962,70.31,2.698
3725.375,127.544,92.557,7.586,68.634,2.701
3725.5,111.026,83.286,7.054,66.689,2.702
3725.625,96.004,72.143,6.535,64.768,2.7
3725.75,87.089,62.444,6.195,63.199,2.698
3725.875,86.947,57.522,6.147,62.219,2.698
3726,95.325,58.851,6.43,61.931,2.699
3726.125,109.229,64.964,6.967,62.312,2.697
3726.25,123.616,73.788,7.631,63.224,2.688
3726.375,134.899,82.113,8.237,64.431,2.673
3726.5,141.599,88.046,8.648,65.679,2.657
3726.625,145.208,91.302,8.869,66.779,2.644
3726.75,147.498,92.62,8.987,67.647,2.636
3726.875,148.966,92.815,9.029,68.262,2.633
3727,149.815,93.377,9.008,68.629,2.635
3727.125,149.934,94.728,8.929,68.778,2.643
3727.25,149.818,96.924,8.804,68.778,2.654
3727.375,150.073,99.451,8.669,68.718,2.665
3727.5,150.622,101.604,8.551,68.675,2.67
3727.625,150.811,103.029,8.453,68.683,2.668
3727.75,150.155,103.839,8.35,68.748,2.663
3727.875,148.862,104.157,8.235,68.855,2.66
3728,147.494,104.163,8.089,68.976,2.661
3728.125,146.563,103.872,7.904,69.075,2.663
3728.25,146.316,103.382,7.699,69.113,2.662
3728.375,146.751,103.014,7.503,69.069,2.659
3728.5,147.693,103.278,7.349,68.941,2.653
3728.625,149.212,104.417,7.246,68.745,2.65
3728.75,151.596,106.227,7.165,68.507,2.65
3728.875,154.778,107.991,7.087,68.253,2.65
3729,158.038,108.907,7.018,68.01,2.649
3729.125,160.271,108.715,6.982,67.801,2.648
3729.25,160.863,107.833,7.007,67.643,2.648
3729.375,160.147,106.645,7.123,67.534,2.651
3729.5,158.963,105.188,7.349,67.458,2.654
3729.625,157.812,103.287,7.662,67.4,2.656
3729.75,156.536,100.556,8.041,67.352,2.653
3729.875,154.651,97.108,8.451,67.319,2.648
3730,151.592,93.645,8.827,67.316,2.643
3730.125,147.677,91.024,9.099,67.373,2.641
3730.25,144.14,89.852,9.213,67.519,2.643
3730.375,142.371,90.206,9.165,67.761,2.648
3730.5,142.495,91.743,8.995,68.073,2.654
3730.625,143.683,94.024,8.755,68.409,2.658
3730.75,144.818,96.73,8.475,68.723,2.654
3730.875,145.757,99.202,8.205,68.987,2.642
3731,146.607,100.777,7.998,69.186,2.627
3731.125,147.066,100.817,7.922,69.317,2.615
3731.25,146.448,99.199,8.004,69.391,2.61
3731.375,144.781,96.347,8.219,69.441,2.611
3731.5,143.098,93.178,8.469,69.514,2.617
3731.625,142.571,90.976,8.604,69.654,2.628
3731.75,143.988,90.764,8.521,69.875,2.641
3731.875,146.851,93.187,8.153,70.163,2.654
3732,149.838,97.625,7.576,70.488,2.661
3732.125,151.695,102.997,6.892,70.815,2.66
3732.25,152.105,107.984,6.228,71.109,2.652
3732.375,151.618,111.874,5.677,71.322,2.642
3732.5,151.125,114.279,5.33,71.401,2.633
3732.625,150.645,115.105,5.234,71.307,2.628
3732.75,149.865,114.073,5.419,71.026,2.624
3732.875,148.29,110.791,5.878,70.571,2.618
3733,145.92,105.201,6.562,69.982,2.612
3733.125,142.762,98.428,7.329,69.339,2.607
3733.25,139.375,92.396,7.998,68.746,2.605
3733.375,136.8,89.021,8.418,68.294,2.605
3733.5,136.75,89.035,8.528,68.037,2.605
3733.625,140.018,91.81,8.386,67.967,2.604
3733.75,145.48,95.961,8.104,68.032,2.603
3733.875,149.861,100.203,7.777,68.156,2.609
3734,150.171,103.067,7.515,68.253,2.622
3734.125,146.284,103.917,7.373,68.247,2.636
3734.25,141.126,102.49,7.385,68.1,2.641
3734.375,138.201,99.561,7.549,67.827,2.635
3734.5,138.783,96.13,7.845,67.499,2.623
3734.625,142.116,93.082,8.263,67.205,2.614
3734.75,146.282,90.543,8.811,67.018,2.613
